-7,-990,33,156,36,90,Left
2,-996,51,73,-44,45,Left
-4,-999,54,24,-44,0,Left
0,-983,47,90,-77,90,Left
-9,-1007,23,57,-12,45,Left
2,-978,36,90,-12,135,Left
-10,-992,54,172,-44,90,Left
-21,-998,47,73,-28,181,Left
-39,-992,53,57,-28,226,Left
-39,-987,33,57,-77,181,Left
-51,-992,45,106,-77,181,Left
-60,-975,41,73,-93,135,Left
-88,-996,27,40,-93,45,Left
-78,-1001,56,90,-61,45,Left
-57,-963,50,73,-61,45,Left
-55,-989,42,73,-110,90,Left
-55,-981,44,40,-61,0,Left
-64,-1005,51,90,-44,90,Left
-49,-984,47,73,-61,90,Left
-52,-984,63,73,-44,135,Left
-51,-993,36,73,-44,45,Left
-61,-1008,41,73,-28,135,Left
-55,-1005,41,73,-61,90,Left
-46,-990,36,90,-44,90,Left
-48,-990,45,57,-61,90,Left
-51,-990,27,57,-61,45,Left
-45,-990,27,57,-44,90,Left
-48,-993,32,73,-44,45,Left
-36,-989,33,73,-44,90,Left
-31,-990,20,73,-61,45,Left
-31,-987,21,90,-61,90,Left
-46,-995,21,90,-61,45,Left
-33,-978,14,73,-61,90,Left
-36,-987,30,73,-61,90,Left
-58,-1010,32,57,-61,135,Left
-48,-984,6,90,-77,45,Left
-54,-996,9,73,-61,45,Left
-46,-990,11,90,-61,90,Left
-45,-981,24,90,-61,90,Left
-37,-986,8,90,-61,90,Left
-42,-993,20,57,-44,45,Left
-46,-986,9,40,-44,0,Left
-48,-995,21,73,-44,45,Left
-45,-993,20,123,-12,135,Left
-43,-989,17,90,-61,90,Left
-40,-986,3,90,-61,90,Left
-40,-1002,15,73,-61,90,Left
-45,-984,9,73,-44,90,Left
-40,-992,9,40,-61,90,Left
-49,-995,5,90,-61,90,Left
-48,-999,-3,57,-61,90,Left
-45,-993,3,90,-77,0,Left
-40,-1001,20,24,-61,135,Left
-42,-992,6,73,-61,90,Left
-42,-993,12,106,-44,90,Left
-49,-995,14,123,-77,90,Left
-42,-996,-24,-25,-77,45,Left
-42,-995,-45,7,4,135,Left
-28,-1002,-51,156,-28,135,Left
-42,-987,-28,156,-44,90,Left
-31,-1035,2,320,-61,90,Left
-18,-1016,56,436,-77,45,Left
-42,-974,114,172,-61,90,Left
-42,-984,120,139,-28,45,Left
-45,-989,123,139,-28,135,Left
-55,-957,146,222,-28,135,Left
-36,-983,159,73,-61,135,Left
-43,-990,156,73,-61,90,Left
-33,-963,147,24,-77,45,Left
-36,-975,132,40,-61,45,Left
-37,-995,137,-90,-77,45,Left
-30,-989,110,40,-28,90,Left
-22,-984,104,7,-44,45,Left
-33,-987,86,7,-44,90,Left
-22,-978,77,40,-61,45,Left
-28,-989,78,57,-61,90,Left
-33,-1002,80,24,-77,135,Left
-34,-986,50,7,-28,45,Left
-24,-989,57,40,-28,135,Left
-34,-998,62,24,-44,135,Left
-33,-992,42,40,-61,135,Left
-31,-987,54,90,-77,45,Left
-37,-993,47,156,-77,135,Left
-43,-987,59,73,-77,135,Left
-45,-993,65,73,-77,90,Left
-55,-1001,59,24,-61,135,Left
-60,-1007,54,40,-44,90,Left
-57,-993,59,40,-61,90,Left
-58,-977,47,-8,-12,90,Left
-61,-993,57,24,-28,90,Left
-67,-1005,51,-25,-61,135,Left
-66,-984,32,90,-44,0,Left
-73,-1004,38,73,-44,135,Left
-70,-996,15,123,-44,45,Left
-82,-993,23,90,-44,181,Left
-88,-1004,51,123,-44,90,Left
-82,-966,56,139,-126,226,Left
-103,-978,38,106,-77,135,Left
-99,-966,65,123,-77,135,Left
-115,-980,66,90,-93,135,Left
2,1012,-21,90,-110,45,Right
23,976,-52,139,-93,45,Right
-3,1000,-46,73,-93,45,Right
14,978,-46,106,-28,45,Right
8,993,-31,73,-28,90,Right
11,972,-34,73,-44,45,Right
5,991,-30,40,-44,90,Right
6,994,-30,90,-12,135,Right
18,975,-21,73,-44,135,Right
5,988,-39,90,-44,45,Right
9,997,-10,73,-28,181,Right
15,985,-4,73,-44,135,Right
8,1000,-13,73,-61,45,Right
14,988,-18,106,-28,135,Right
18,981,-6,57,4,135,Right
21,985,-4,106,-12,90,Right
18,991,-27,172,-28,90,Right
17,994,-27,106,-44,90,Right
2,996,-42,172,-44,90,Right
23,973,-33,123,-44,90,Right
32,988,-13,-25,-44,45,Right
-21,997,-27,57,-28,0,Right
-24,996,-42,106,-28,0,Right
-27,978,-42,73,-61,0,Right
-33,997,-12,24,-61,45,Right
-49,973,-24,57,-12,0,Right
-45,991,-16,57,-44,90,Right
-45,994,-21,106,-61,90,Right
-48,984,-18,106,-44,135,Right
-43,987,6,57,-28,-45,Right
-90,994,-18,106,-28,0,Right
-85,979,-42,156,-28,45,Right
-97,973,-36,139,-44,-45,Right
-102,982,-28,90,-77,135,Right
-87,988,-34,106,-61,135,Right
-81,984,-58,106,-93,181,Right
-84,967,-82,156,-61,135,Right
-54,990,-58,106,-44,135,Right
-58,997,-66,172,-44,90,Right
-54,996,-81,123,-61,135,Right
-39,973,-87,106,-28,181,Right
-36,997,-88,73,-61,181,Right
-31,988,-90,106,-61,90,Right
-12,987,-87,139,-61,90,Right
-12,982,-99,123,-44,90,Right
3,972,-90,90,-44,90,Right
-16,982,-112,73,-77,45,Right
-16,976,-121,40,-77,90,Right
6,973,-97,90,-44,45,Right
11,967,-96,7,-110,90,Right
-15,990,-87,57,-61,45,Right
-22,988,-70,40,-44,45,Right
-10,985,-66,90,-44,0,Right
-15,1000,-39,24,-77,45,Right
-27,988,-69,156,-28,90,Right
-19,973,-72,73,-61,45,Right
-30,984,-54,-41,-110,90,Right
-19,979,-54,139,-12,45,Right
-37,982,-70,106,-44,45,Right
-46,990,-67,123,-44,90,Right
-39,975,-87,123,-44,45,Right
-46,976,-69,189,-44,90,Right
-42,967,-117,139,-28,45,Right
-55,981,-103,57,-44,90,Right
-49,984,-112,40,-44,45,Right
-58,985,-58,40,4,-45,Right
-79,987,-106,139,-44,90,Right
-102,984,-112,90,-61,90,Right
-105,961,-115,123,-44,90,Right
-82,981,-112,106,-61,90,Right
-69,976,-120,139,-28,181,Right
-73,993,-121,123,-61,181,Right
-78,991,-154,189,-28,135,Right
-69,978,-165,139,-28,90,Right
-54,967,-183,90,-61,90,Right
-57,993,-186,139,-28,181,Right
-42,982,-174,-90,-142,135,Right
-37,984,-165,90,-61,135,Right
-24,990,-163,123,-44,135,Right
-18,975,-184,73,-44,135,Right
-7,958,-163,73,-44,135,Right
11,957,-159,73,-61,90,Right
9,964,-159,40,-61,45,Right
12,975,-141,90,-44,135,Right
2,988,-144,90,-44,90,Right
5,972,-141,40,-77,181,Right
15,981,-156,57,-77,90,Right
23,981,-109,24,-93,90,Right
26,973,-138,123,-28,45,Right
20,973,-142,-41,-142,181,Right
21,936,-138,123,-12,0,Right
2,969,-141,106,-12,45,Right
-3,970,-130,90,-28,45,Right
-4,943,-141,73,-44,45,Right
-27,958,-141,73,-110,45,Right
-34,988,-135,123,-28,90,Right
-33,972,-127,106,-44,45,Right
-31,979,-130,90,-61,90,Right
-31,975,-133,90,-61,90,Right
-40,987,-133,40,-93,135,Right
-1032,-77,8,73,-93,0,Forwards
-1057,-69,21,73,-61,0,Forwards
-1066,-65,3,73,-61,45,Forwards
-1045,-68,5,73,-61,90,Forwards
-1047,-68,15,73,-61,90,Forwards
-1056,-72,12,90,-44,45,Forwards
-1041,-65,8,73,-77,135,Forwards
-1057,-56,2,57,-93,90,Forwards
-1060,-56,5,57,-77,90,Forwards
-1053,-66,9,40,-44,45,Forwards
-1056,-56,8,73,-77,0,Forwards
-1047,-57,-4,90,-44,0,Forwards
-1041,-63,-3,90,-28,90,Forwards
-1056,-57,-10,73,-12,135,Forwards
-1053,-69,-9,73,-44,45,Forwards
-1062,-69,-19,73,-44,90,Forwards
-1027,-56,-9,90,-12,181,Forwards
-1063,-71,-19,90,-77,90,Forwards
-1057,-66,-19,73,-77,90,Forwards
-1051,-72,-15,106,-12,90,Forwards
-1044,-72,-16,57,-126,-45,Forwards
-1030,-83,-21,106,-142,-90,Forwards
-1047,-101,-18,106,-93,90,Forwards
-1050,-96,-16,106,-61,90,Forwards
