Time,BTID,signal
38831822,00:09:42:00:19:a3,-85
38881984,00:09:42:00:19:a7,-90
39664815,00:09:42:00:19:8f,-83
39665002,00:09:42:00:19:8f,-88
39666548,00:09:42:00:19:8f,-83
39666688,00:09:42:00:19:8f,-83
39667047,00:09:42:00:19:8f,-89
39667222,00:09:42:00:19:8f,-88
39692619,00:09:42:00:19:91,-87
39694352,00:09:42:00:19:91,-88
39694978,00:09:42:00:19:91,-88
39855119,00:09:42:00:19:91,-87
39861375,00:09:42:00:19:91,-88
39866865,00:09:42:00:19:91,-85
39866978,00:09:42:00:19:91,-86
39868403,00:09:42:00:19:91,-85
39912509,00:09:42:00:19:91,-90
39912958,00:09:42:00:19:91,-83
39943333,00:09:42:00:19:91,-85
39946855,00:09:42:00:19:91,-87
39949715,00:09:42:00:19:91,-87
39952996,00:09:42:00:19:91,-73
39953419,00:09:42:00:19:91,-73
39953746,00:09:42:00:19:91,-76
39953882,00:09:42:00:19:91,-78
39954311,00:09:42:00:19:91,-83
39956157,00:09:42:00:19:91,-78
39959588,00:09:42:00:19:91,-78
39959916,00:09:42:00:19:91,-80
39960475,00:09:42:00:19:91,-78
39963536,00:09:42:00:19:91,-80
40007405,00:09:42:00:19:8f,-84
40019789,00:09:42:00:19:8f,-85
40031852,00:09:42:00:19:8f,-83
40033684,00:09:42:00:19:8f,-85
40037869,00:09:42:00:19:8f,-85
40042489,00:09:42:00:19:8f,-86
40044438,00:09:42:00:19:8f,-80
40045868,00:09:42:00:19:8f,-79
40046047,00:09:42:00:19:8f,-82
40055219,00:09:42:00:19:8f,-88
40060728,00:09:42:00:19:8f,-88
40061015,00:09:42:00:19:8f,-85
40064099,00:09:42:00:19:8f,-85
40065947,00:09:42:00:19:8f,-87
40070090,00:09:42:00:19:8f,-82
40082101,00:09:42:00:19:8f,-87
40082311,00:09:42:00:19:8f,-82
40085020,00:09:42:00:19:8f,-83
40098284,00:09:42:00:19:91,-83
40203266,00:09:42:00:19:8f,-87
