,laxen,laxmean,laxstd,layen,laymean,laystd,lazen,lazmean,lazstd,lgxen,lgxmean,lgxstd,lgyen,lgymean,lgystd,lgzen,lgzmean,lgzstd,raxen,raxmean,raxstd,rayen,raymean,raystd,razen,razmean,razstd,rgxen,rgxmean,rgxstd,rgyen,rgymean,rgystd,rgzen,rgzmean,rgzstd,xcorr,ycorr,zcorr
0,-1.2206374345131654,0.53151458527803741,-0.93051762953447326,-0.9857382607034999,0.46790296733660808,-0.84305295261476199,0.013262535121525594,1.249727520932248,-0.79463395831717032,-0.91679051521439292,-0.074310498153717847,-0.91757086082502137,-0.83798901814921523,-0.11829784215189922,-0.92982989034772878,-0.78774496677219019,0.097389857113527795,-0.8652622376799517,-1.0267655926244668,0.15155488014110005,-1.1976764456746163,-1.3111560241887577,-0.55530571292204933,-0.99237849227204278,-0.63834390468966606,0.95118013627179476,-1.0888886515276386,-1.0216032731146945,-0.086925645735817347,-1.0645098122915382,-1.1160605154993601,-0.00093395464432532787,-1.0900637546119598,-0.98822168524278364,-0.0083242051471188704,-0.93204295334831055,0.16703087684633119,0.34264113239440513,1.7141358108535432
1,-1.2153356765950982,0.51607541474116769,-0.94714023015443971,-0.99626181389892399,0.46358363847302381,-0.88575234164316763,-0.041287902536555517,1.2469331793437231,-0.84581090143057791,-0.9723494782096419,-0.090276082480068062,-0.95915627227323241,-0.85352810088973574,-0.11167323781351539,-0.94888699446864799,-0.80101587554241593,0.052409227056784795,-0.86554108729382329,-1.0309189146159758,0.17809141267295456,-1.1945117073006575,-1.3000142287718466,-0.56186185893070284,-0.98687442041203322,-0.63846619229083335,0.93789989802516671,-1.0746625901277844,-1.0184450855038572,-0.091538096581949058,-1.0535037610441302,-1.13029442726414,-0.0064662717426773372,-1.1006847181502613,-0.98990538189715815,-0.040329035915584094,-0.93020838210413714,0.14151328586429684,0.34615009455334028,1.6951988680643957
2,-1.2366643385815808,0.51544825608136646,-0.96405618038828744,-1.0027664641510505,0.43677325880966483,-0.89118747351217287,-0.060464963439329819,1.2405015104360568,-0.85776768094116695,-1.0166271674616632,-0.12721686050047532,-1.0053741963580172,-0.88470031097912583,-0.14833440045888949,-0.96424650776554566,-0.85859887487776843,0.013574206339189827,-0.87490483325410451,-0.99694334274123741,0.20200080438194606,-1.170991732475495,-1.2885910485588068,-0.56757151520153015,-0.98213044081319956,-0.62764702654920312,0.92826521537565232,-1.0596511715206034,-1.0096308560367231,-0.093395057312209873,-1.0469363759525543,-1.0652667046169448,0.038402975373177592,-1.0311054021881076,-0.99499446419869386,-0.056331451299816711,-0.92975326749133536,0.13244105345951485,0.35250767825719553,1.6762933220277938
3,-1.2536149504058305,0.52079755053261167,-0.98097135916696721,-1.0707009207355951,0.41672546474080646,-0.95636190806491983,-0.076521089570844705,1.2391277559120892,-0.87193754169662463,-1.0027286129627644,-0.024988246574100214,-1.0069968641842202,-0.8738785057727364,-0.16557342765763827,-0.95971909955459078,-0.83992958876345813,0.019327542741796488,-0.86308558070731334,-0.97736705839739069,0.21306371848923147,-1.1559444850121965,-1.2849855579082556,-0.57035995198495737,-0.98215163774467484,-0.64464462989319271,0.92321351690536635,-1.0691324160154323,-0.98691292718692025,-0.083391430152417734,-1.0274298278993186,-1.0545272808730357,0.025290665367343288,-1.0280690686384308,-0.94883941042525755,-0.042329337838613174,-0.91165938524611256,0.13427301722128782,0.35668359729073496,1.6688237878476995
4,-1.2373748407515484,0.51998593344345723,-0.96315300298490003,-0.98114975299508633,0.45250172401493888,-0.86238597497607916,-0.056253418583203998,1.2466053515595945,-0.86181644735647778,-0.90251350201612901,-0.00063258477012717801,-0.92096192349341433,-0.87248297732216196,-0.14569961464248682,-0.95577179049711158,-0.86970508288933224,0.010566780492372708,-0.87983003335556209,-0.97816505400709486,0.2426612316128621,-1.1727249468913914,-1.2922301650708354,-0.57382890012624488,-0.98662087072096605,-0.67232002697989213,0.90951664373335395,-1.086948087920824,-0.98127412825162352,-0.095910939591918071,-1.0281014502221766,-1.1205375068844985,-0.034702643426473959,-1.0999312576476865,-0.97939664605893628,-0.054331149376787631,-0.91880217669844566,0.12290253624187812,0.35313111904072397,1.6616021944180586
5,-1.2397624287451308,0.52413624810390613,-0.96164370870734706,-0.99551579619534303,0.45893708772583469,-0.87845214169671415,-0.022854653768233833,1.2496494666979316,-0.84549796933821308,-0.91020766023497368,-0.063639622915187849,-0.92142562260367844,-0.87446458802965976,-0.1602285764300786,-0.96207282826374896,-0.85062722318914941,-0.0010706499583544036,-0.87222306123803384,-0.95956860672080535,0.25868920085326469,-1.1691068064458534,-1.305144506152095,-0.58016927424094267,-1.0039248885028011,-0.60276862035260903,0.90340599816104927,-1.0608191348297746,-1.0358349333408072,-0.103398684472002,-1.0696113105022731,-1.0702692870409678,0.029134548026587864,-1.0395206241104085,-1.0060670117431569,-0.046329941684671326,-0.93502253342403474,0.12184146507127987,0.35521686683609666,1.6580378334151666
6,-1.2591891988951511,0.52640508678495146,-0.98396751231459056,-1.0907561909918744,0.4290726371488302,-0.9866314876822615,-0.029356725658315871,1.2488064809673154,-0.85414262844659239,-1.0270675943218408,-0.076102553537287773,-1.0224657578595857,-0.89850071652097496,-0.13245040596571919,-0.97868552388010244,-0.77711559700881416,0.025603909726458301,-0.84114722278053144,-0.96385549897740652,0.26447373110544004,-1.1725508434891814,-1.2975192320170739,-0.58370461373421656,-0.99994873915839877,-0.60065923124370335,0.90107978649431975,-1.0573028869394649,-0.99160167167793234,-0.041040745110663017,-1.0372151987358074,-1.0681858659087542,0.035600892686999307,-1.0391771283566138,-0.95384538951687026,-0.052330847453758551,-0.91671899365360543,0.1223572603159274,0.3613200458684927,1.654324890897011
7,-1.2455886748768135,0.52491097350718985,-0.97149838922818132,-1.0515108460061744,0.41554746595982894,-0.94945299913363168,-0.056618312385617292,1.2507578368252237,-0.86463248485000888,-1.024167011551733,-0.049547551035297101,-1.0225790097517962,-0.89411788600764763,-0.13252568556047356,-0.97018367595072064,-0.81824647722183863,-0.019442099153041587,-0.84510403346904128,-0.51968618198798933,0.10797808557471231,-0.58095129084553887,-1.1838994822429503,-0.56732254763158119,-0.88718199032344913,-0.37035863617018155,0.96015514695611714,-0.81238946451963545,-0.75763615935800099,0.018262194339601724,-0.86269801536974922,-0.58102785713540683,0.34972154663498611,-0.62795195332320453,-0.79079434096904722,-0.0083242051471188704,-0.83163201055155733,0.1750820586887748,0.35510892727048277,1.7259571136171341
8,-1.2367312012199265,0.53208640640903249,-0.95953127043680375,-1.0384264202189173,0.39986263033903552,-0.94639664333018148,-0.058066151693034966,1.2527248035299956,-0.86648310803665629,-1.0227171092430016,-0.077568780669299522,-1.0205230508195298,-0.89909074683389245,-0.18070462620326494,-0.97147974454739505,-0.89103155874999718,-0.073052733813694579,-0.8937792080412178,-0.51359870806817398,-0.24058806653762166,-0.5073565952025394,-1.1872079196676872,-0.55175377559077887,-0.8843336339300365,-0.23307993773210242,1.0822812594594218,-0.81648924207247375,-0.7304572749526177,-0.050744862475251791,-0.82744197084922311,-0.52272377797456226,0.4649302540013166,-0.55176240992897463,-0.83685125817366235,-0.052330847453758551,-0.81804716069820849,0.30198421827781324,0.34972567300460877,1.8716340038403596
9,-1.2490848825177598,0.54171513642127389,-0.96238934959223865,-1.0662870233396176,0.37745883870822211,-0.98353645309988114,-0.080940365103102027,1.2507890585189503,-0.88226839554881764,-1.0402615786646408,-0.10066185799848466,-1.0275015393895628,-0.89068541511544541,-0.17588673213898581,-0.96945690152435138,-0.82459255021426825,0.12046858154671133,-0.84151910270030716,-1.0293010849940893,-0.35615816053420868,-0.92699614882731218,-1.2636195859217785,-0.55885765025331979,-0.94288601280357953,-0.43897526202307152,1.1205769530176719,-1.0125479407434514,-0.92452126151997505,-0.10166152765982253,-0.95189672563688688,-0.89615813111760423,0.1257704765627366,-0.80719430961659033,-0.91816397849233966,-0.13634352822097978,-0.88720371087756456,0.34990588248324717,0.35642745348792082,1.9141412715569943
