345,-713,1329,-1969,-142,3982,PushLeft
320,-188,941,-1046,-599,4072,PushLeft
89,277,963,-387,-354,2262,PushLeft
-279,-3,765,222,4,316,PushLeft
-528,-153,762,7,216,-181,PushLeft
3,-180,1035,40,-61,181,PushLeft
86,-728,1125,-123,-12,1357,PushLeft
3,-783,1152,-717,-142,3348,PushLeft
98,-641,1067,-1112,-632,4027,PushLeft
318,-603,1277,-1063,-713,3756,PushLeft
-6,-462,1044,189,4,905,PushLeft
242,-846,1107,7,-44,2489,PushLeft
149,-608,1188,-1754,-322,3982,PushLeft
306,-560,1217,-2035,-1105,4118,PushLeft
213,-312,957,-1063,-1039,2986,PushLeft
-25,-765,1041,-502,-28,1312,PushLeft
18,-848,1155,-1474,-452,3394,PushLeft
60,-995,1244,-1771,-909,4072,PushLeft
345,-977,1238,-1425,-1366,4027,PushLeft
510,-480,809,-585,-1153,2941,PushLeft
149,-836,920,40,-126,1493,PushLeft
90,-927,834,-1161,-615,3167,PushLeft
308,-930,1148,-1754,-1235,3982,PushLeft
294,-477,1091,-1046,-990,3756,PushLeft
53,-59,902,-486,-501,2126,PushLeft
44,-542,1079,40,-44,588,PushLeft
245,-719,1217,-338,101,1855,PushLeft
108,-437,1169,-2298,134,3620,PushLeft
35,-288,1049,-2084,-289,3575,PushLeft
-342,265,911,-2216,-77,1900,PushLeft
102,-90,1193,-41,52,135,PushRight
195,66,1236,-338,623,-497,PushRight
392,210,1157,24,1504,-1810,PushRight
467,-623,684,-222,1716,-2534,PushRight
-180,-1220,372,-420,1047,-1267,PushRight
320,156,1119,-354,1129,-1764,PushRight
386,-309,750,-815,1488,-2126,PushRight
14,-975,429,-865,1308,-1583,PushRight
-277,-1044,396,-1540,819,-226,PushRight
-343,-1119,-88,-1804,542,543,PushRight
321,306,1160,-173,232,-316,PushRight
336,480,1185,123,737,-1221,PushRight
393,157,986,90,558,-2262,PushRight
525,-291,992,172,623,-2262,PushRight
276,-597,821,139,542,-1991,PushRight
449,349,1347,156,297,-678,PushRight
522,439,1182,535,411,-1855,PushRight
788,-120,1073,189,558,-2715,PushRight
590,-585,879,-25,868,-2262,PushRight
123,-713,671,40,754,-1448,PushRight
363,238,1178,-90,444,-1040,PushRight
555,492,1139,469,297,-1945,PushRight
872,199,1166,106,134,-3032,PushRight
1011,-377,1049,-25,525,-2986,PushRight
378,-809,783,-8,705,-1810,PushRight
-712,-569,1314,403,20,452,PushForwards
-493,-470,1215,568,-28,588,PushForwards
62,-222,860,386,-305,90,PushForwards
486,-3,683,73,-599,-226,PushForwards
522,64,839,337,-436,-90,PushForwards
-610,-120,1160,320,150,543,PushForwards
11,-237,971,551,-420,-181,PushForwards
393,-24,768,222,-583,-497,PushForwards
378,91,666,40,-305,-407,PushForwards
369,66,789,73,-273,-45,PushForwards
-816,-272,1220,502,85,814,PushForwards
-229,-218,1035,57,-208,271,PushForwards
341,-119,767,485,-403,-543,PushForwards
432,-68,645,172,-420,-497,PushForwards
377,21,761,419,-420,-135,PushForwards
-532,-257,1328,535,460,497,PushForwards
-583,-204,989,287,167,452,PushForwards
30,-126,941,584,-468,-226,PushForwards
261,0,648,139,-566,-452,PushForwards
401,117,728,238,-501,-452,PushForwards
153,-84,1202,452,395,45,PushBackwards
-357,-273,912,600,167,-905,PushBackwards
-477,-258,729,1227,-28,-1086,PushBackwards
-487,88,611,683,134,-859,PushBackwards
-703,142,441,238,330,-588,PushBackwards
672,-5,1271,287,-12,497,PushBackwards
693,237,1176,502,362,452,PushBackwards
174,117,1074,502,-110,-45,PushBackwards
-129,45,971,485,-632,-995,PushBackwards
-291,-18,891,386,-517,-1086,PushBackwards
698,142,1142,205,362,407,PushBackwards
536,61,1101,254,542,543,PushBackwards
54,54,1073,584,118,-90,PushBackwards
-234,-59,1029,699,-224,-1040,PushBackwards
-405,12,863,749,-175,-1267,PushBackwards
455,-38,1106,156,705,588,PushBackwards
-100,-65,975,683,330,-181,PushBackwards
-486,-110,954,535,-256,-769,PushBackwards
-438,-74,969,683,-338,-950,PushBackwards
-456,165,713,600,216,-950,PushBackwards
518,66,1199,304,411,633,PushBackwards
113,-102,1092,502,509,-181,PushBackwards
-205,-245,983,666,362,-1131,PushBackwards
-451,-390,764,1144,297,-1402,PushBackwards
-679,-135,597,683,183,-1221,PushBackwards
317,-461,1094,238,-159,407,LargeCircleRight
80,-486,1091,-74,330,1357,LargeCircleRight
-256,-377,1272,-90,85,2217,LargeCircleRight
-30,-153,1596,-140,101,2670,LargeCircleRight
230,84,1320,1111,395,1855,LargeCircleRight
191,381,1007,1194,330,543,LargeCircleRight
318,480,729,1309,281,-633,LargeCircleRight
228,547,449,1375,199,-1267,LargeCircleRight
18,403,132,1111,-28,-1583,LargeCircleRight
-349,79,60,502,-762,-1493,LargeCircleRight
-195,-285,1248,-90,346,1719,LargeCircleRight
-183,-189,1386,7,330,2308,LargeCircleRight
-139,-110,1385,73,313,2262,LargeCircleRight
56,64,1248,979,330,1583,LargeCircleRight
32,321,984,584,199,724,LargeCircleRight
89,327,768,1144,36,-362,LargeCircleRight
-24,567,623,1342,-77,-1176,LargeCircleRight
-160,604,462,1309,-93,-1448,LargeCircleRight
-351,529,218,1111,-224,-1448,LargeCircleRight
-429,399,152,1177,-729,-1267,LargeCircleRight
47,-473,1125,238,428,1221,LargeCircleRight
-292,-221,1434,-436,216,2760,LargeCircleRight
128,186,1790,798,607,2534,LargeCircleRight
159,414,1158,1457,966,995,LargeCircleRight
246,436,681,1853,558,-724,LargeCircleRight
134,657,207,1474,-12,-1402,LargeCircleRight
-16,565,-43,1408,-599,-1629,LargeCircleRight
-184,219,-27,815,-958,-1312,LargeCircleRight
-246,-315,113,189,-1447,-724,LargeCircleRight
-465,-395,743,-717,-2002,-135,LargeCircleRight
-283,-287,1293,-74,411,2308,LargeCircleRight
132,22,1668,222,477,2851,LargeCircleRight
-121,417,1488,699,1031,2081,LargeCircleRight
87,411,1164,699,477,1086,LargeCircleRight
360,330,774,1688,330,-678,LargeCircleRight
282,552,348,1836,264,-1810,LargeCircleRight
-12,540,-45,1358,-77,-1810,LargeCircleRight
-142,241,-145,913,-762,-1629,LargeCircleRight
-130,-174,120,337,-1545,-1448,LargeCircleRight
-259,-888,663,-222,-2360,-678,LargeCircleRight
-124,-639,1424,205,-44,2172,LargeCircleRight
126,-365,1755,551,444,2398,LargeCircleRight
513,112,1343,913,770,1810,LargeCircleRight
261,465,879,1391,835,497,LargeCircleRight
291,582,561,1787,672,-950,LargeCircleRight
-55,565,153,1589,379,-1493,LargeCircleRight
-205,349,-105,1111,-159,-1629,LargeCircleRight
-232,-71,-157,436,-844,-1493,LargeCircleRight
-370,-962,44,-502,-1773,-1176,LargeCircleRight
-282,-1133,864,-947,-2393,-316,LargeCircleRight
417,-638,891,254,-110,769,LargeCircleRight
24,-623,1184,73,-208,1900,LargeCircleRight
-243,-363,1584,-222,101,2443,LargeCircleRight
317,-90,1730,1210,737,2534,LargeCircleRight
278,465,1223,1243,1047,1448,LargeCircleRight
44,487,837,1144,558,45,LargeCircleRight
233,495,575,1737,248,-1267,LargeCircleRight
141,462,234,1375,330,-1583,LargeCircleRight
-190,240,-48,584,297,-1538,LargeCircleRight
-333,-177,-139,320,-338,-1855,LargeCircleRight
173,-449,936,353,330,1448,LargeCircleRight
-247,-155,1373,-239,183,2534,LargeCircleRight
-48,435,1935,123,917,2353,LargeCircleRight
138,60,1557,568,1162,1629,LargeCircleRight
284,477,1244,716,901,724,LargeCircleRight
153,639,633,1490,950,-724,LargeCircleRight
60,492,260,1424,330,-1493,LargeCircleRight
-6,253,-28,913,4,-1764,LargeCircleRight
-126,-135,-222,568,-501,-1538,LargeCircleRight
-352,-596,-37,-123,-1463,-1764,LargeCircleRight
-55,-125,995,73,-126,135,LargeCircleLeft
-31,-89,978,90,-191,0,LargeCircleLeft
131,184,965,-8,-322,-362,LargeCircleLeft
161,589,1325,-255,-648,-995,LargeCircleLeft
938,241,2014,765,-93,-2217,LargeCircleLeft
573,-869,1689,172,1586,-1176,LargeCircleLeft
321,-870,992,-222,2124,45,LargeCircleLeft
18,-600,323,-815,2059,1221,LargeCircleLeft
-9,-351,-196,-848,1292,2126,LargeCircleLeft
120,420,-315,-1227,150,2534,LargeCircleLeft
357,255,1296,7,-566,-769,LargeCircleLeft
336,15,1896,189,330,-1448,LargeCircleLeft
149,-573,1616,205,1259,-1583,LargeCircleLeft
254,-960,1059,-90,1569,-769,LargeCircleLeft
131,-968,540,-651,1716,1131,LargeCircleLeft
57,-468,35,-914,1145,2489,LargeCircleLeft
32,309,-279,-717,232,2715,LargeCircleLeft
66,600,-63,-1606,-827,2081,LargeCircleLeft
