-105,-986,47,73,-77,90,PushLeft
-99,-999,47,57,-61,135,PushLeft
-109,-989,48,73,-61,135,PushLeft
-103,-996,35,73,-77,90,PushLeft
-105,-987,38,73,-77,45,PushLeft
-100,-986,17,90,-61,135,PushLeft
-93,-999,17,73,-77,45,PushLeft
-99,-987,18,73,-77,45,PushLeft
-97,-992,18,90,-77,45,PushLeft
-105,-990,23,73,-77,90,PushLeft
62,1000,93,238,-110,135,PushRight
48,984,47,156,-44,90,PushRight
50,981,54,57,-110,135,PushRight
59,988,47,90,-93,135,PushRight
53,985,59,123,-61,90,PushRight
45,984,39,139,-44,90,PushRight
38,984,36,106,-77,45,PushRight
35,990,32,106,-77,90,PushRight
39,1000,36,73,-61,45,PushRight
44,985,36,106,-77,0,PushRight
45,990,30,123,-61,45,PushRight
47,981,21,106,-61,45,PushRight
35,985,26,90,-77,45,PushRight
48,994,36,90,-77,45,PushRight
42,987,35,73,-93,45,PushRight
-1062,-65,81,73,-110,45,PushForwards
-1063,-54,84,40,-110,0,PushForwards
-1056,-72,87,90,-110,45,PushForwards
-1054,-84,101,139,-159,45,PushForwards
-1056,-56,98,90,-110,90,PushForwards
-1056,-86,-6,90,-77,90,PushForwards
-1048,-80,-18,73,-61,135,PushForwards
-1053,-84,-1,90,-77,45,PushForwards
-1059,-65,-1,73,-93,90,PushForwards
-1053,-84,-16,106,-44,45,PushForwards
-1062,-62,-6,73,-77,90,PushForwards
-1065,-68,-10,73,-93,45,PushForwards
-1057,-68,-13,73,-93,45,PushForwards
-1060,-81,-13,90,-61,181,PushForwards
-1060,-68,-12,57,-93,0,PushForwards
1001,-17,89,90,-77,45,PushBackwards
1010,-23,83,90,-77,45,PushBackwards
1004,-20,87,73,-77,45,PushBackwards
999,-24,83,40,-93,90,PushBackwards
1001,-20,86,90,-77,90,PushBackwards
992,-60,96,90,-77,90,PushBackwards
1001,-60,98,90,-61,90,PushBackwards
1002,-60,99,73,-77,90,PushBackwards
