33415000,189,118,990,73,-12,45
33415010,195,114,995,73,4,45
33415020,198,114,995,90,4,45
33415030,191,115,989,73,4,45
33415040,189,117,995,73,4,90
33415050,189,112,1002,90,4,45
33415060,189,108,993,90,20,45
33415070,186,112,995,90,4,45
33415080,189,115,993,73,-12,45
33415090,189,114,993,90,4,45
33415100,189,118,996,90,4,45
33415110,191,117,995,73,4,45
33415120,189,121,993,90,4,45
33415130,192,121,992,90,4,45
33415140,191,115,995,90,-12,90
33415150,192,117,989,90,-12,45
33415160,194,118,993,73,-12,90
33415170,194,111,993,73,4,45
33415180,189,117,995,73,-12,45
33415190,185,109,992,90,4,45
33415200,192,111,1001,73,4,45
33415210,189,112,993,90,20,45
33415220,191,115,987,90,4,0
33415230,191,114,986,73,4,45
33415240,185,118,987,73,4,45
33415250,182,115,993,90,4,45
33415260,185,115,1004,90,4,0
33415270,180,111,992,73,-12,90
33415280,180,112,992,73,4,45
33415290,188,114,996,73,4,45
33415300,192,115,996,73,4,45
33415310,186,117,996,73,4,45
33415320,186,108,993,57,-12,45
33415330,180,103,1004,90,-12,45
33415340,173,111,1011,57,-28,0
33415350,174,111,1010,90,-12,45
33415360,173,111,1011,73,-28,90
33415370,177,117,1013,73,-44,90
33415380,176,108,1005,57,-77,45
33415390,179,106,1007,57,-93,45
33415400,188,115,1010,57,-110,45
33415410,173,120,1004,40,-126,45
33415420,183,117,992,40,-142,0
33415430,197,117,996,24,-159,0
33415440,194,117,995,24,-159,45
33415450,209,120,1001,24,-142,45
33415460,225,115,993,7,-142,45
33415470,242,108,981,7,-110,90
33415480,257,114,969,7,-93,45
33415490,248,117,978,7,-61,45
33415500,240,117,978,7,-28,45
33415510,221,121,992,-8,-28,90
33415520,209,120,995,7,-28,45
33415530,210,123,1007,-8,-28,90
33415540,230,133,1016,-41,-61,45
33415550,252,156,1043,-25,-44,135
33415560,219,184,1026,-25,-28,90
33415570,195,183,1040,-58,-61,0
33415580,218,189,1035,-74,-77,-45
33415590,210,184,1044,-90,-77,45
33415600,207,190,1055,-123,-93,0
33415610,200,193,1055,-107,-93,-45
33415620,203,183,1055,-140,-110,-45
33415630,209,177,1037,-123,-93,-45
33415640,192,168,1041,-140,-77,-45
33415650,179,160,1040,-156,-93,-135
33415660,171,157,1040,-156,-77,-90
33415670,168,147,1037,-156,-61,-45
33415680,170,145,1034,-156,-61,-90
33415690,168,144,1023,-156,-44,-135
33415700,159,135,1023,-156,-44,-90
33415710,162,129,1013,-173,-28,-90
33415720,162,115,1001,-173,-28,-90
33415730,165,97,995,-156,-44,-135
33415740,165,91,993,-156,-44,-135
33415750,170,81,993,-156,-44,-135
33415760,177,75,992,-156,-28,-135
33415770,183,64,992,-140,-12,-181
33415780,180,51,984,-123,4,-181
33415790,174,37,981,-123,4,-181
33415800,176,22,971,-107,4,-226
33415810,186,7,965,-107,4,-226
33415820,200,-2,960,-107,20,-226
33415830,207,-17,954,-90,20,-226
33415840,206,-26,954,-74,20,-226
33415850,212,-39,950,-58,20,-271
33415860,206,-50,950,-41,36,-271
33415870,209,-56,944,-41,52,-271
33415880,215,-57,936,-25,69,-316
33415890,224,-56,935,-8,85,-316
33415900,221,-56,930,7,85,-271
33415910,219,-53,929,24,101,-271
33415920,225,-44,936,40,101,-271
33415930,228,-41,935,40,101,-271
33415940,225,-39,933,40,101,-271
33415950,230,-32,929,57,101,-226
33415960,225,-27,926,57,101,-271
33415970,231,-26,926,57,101,-271
33415980,228,-23,927,73,101,-271
33415990,222,-24,924,90,118,-271
33416000,218,-26,915,90,101,-271
33416010,212,-23,911,106,101,-271
33416020,216,-17,926,123,101,-271
33416030,218,-6,933,139,101,-271
33416040,216,-2,942,156,101,-271
33416050,207,10,947,156,85,-271
33416060,195,9,936,156,85,-226
33416070,186,-2,935,172,69,-271
33416080,191,-3,933,172,52,-271
33416090,195,-9,942,172,52,-181
33416100,215,-8,962,189,52,-226
33416110,207,7,975,205,52,-226
33416120,201,13,977,205,85,-226
33416130,191,16,983,205,85,-226
33416140,182,19,986,205,85,-226
33416150,186,19,983,205,69,-226
33416160,188,24,989,189,52,-135
33416170,186,19,990,189,36,-181
33416180,194,24,996,189,20,-181
33416190,191,25,998,172,4,-271
33416200,183,33,1011,172,4,-181
33416210,186,42,1016,172,4,-226
33416220,195,40,1019,156,-12,-226
33416230,195,52,1020,156,-12,-135
33416240,200,52,1022,139,-28,-226
33416250,197,54,1014,139,-12,-181
33416260,192,54,1008,139,-28,-181
33416270,191,55,1014,139,-44,-181
33416280,197,57,1019,123,-61,-135
33416290,198,54,1010,123,-77,-181
33416300,204,49,989,123,-110,-135
33416310,198,43,989,123,-142,-135
33416320,225,54,1011,123,-142,-181
33416330,239,54,1055,139,-142,-181
33416340,239,48,1061,106,-126,-181
33416350,246,46,1085,123,-110,-181
33416360,255,51,1074,106,-110,-181
33416370,249,39,1059,106,-93,-90
33416380,237,33,1046,106,-110,-181
33416390,227,36,1032,106,-126,-90
33416400,227,31,1019,90,-159,-135
33416410,230,30,1008,90,-175,-135
33416420,243,33,998,90,-191,-135
33416430,260,33,990,90,-191,-90
33416440,264,30,969,90,-159,-90
33416450,266,24,941,106,-126,-90
33416460,251,30,924,123,-110,-90
33416470,245,24,899,156,-93,-90
33416480,245,34,885,172,-110,-90
33416490,234,39,896,189,-93,-90
33416500,255,42,909,205,-77,0
33416510,276,58,921,222,-61,-45
33416520,290,76,938,222,-44,-45
33416530,269,82,968,238,-28,-45
33416540,249,100,998,222,-44,-45
33416550,260,106,1016,222,-61,-45
33416560,263,114,1017,189,-93,-90
33416570,263,118,1026,189,-93,0
33416580,255,124,1020,189,-110,-45
33416590,228,127,1011,172,-110,0
33416600,236,132,1022,156,-126,-45
33416610,201,133,1029,156,-175,0
33416620,204,142,1017,123,-224,0
33416630,206,133,1004,139,-273,0
33416640,206,130,992,172,-273,0
33416650,213,127,983,156,-305,-45
33416660,212,120,989,156,-289,-45
33416670,216,118,1010,172,-289,-45
33416680,236,120,1019,156,-256,0
33416690,275,123,1023,156,-191,0
33416700,303,121,1022,156,-126,0
33416710,311,118,1026,139,-77,0
33416720,314,120,1020,156,-44,0
33416730,306,121,1007,139,-44,0
33416740,299,123,992,139,-44,0
33416750,293,129,978,139,-44,45
33416760,272,133,965,139,-12,45
33416770,258,133,959,139,-12,45
33416780,255,139,956,139,4,90
33416790,252,136,957,139,4,45
33416800,258,144,951,139,4,45
33416810,269,145,953,123,4,45
33416820,267,148,956,123,4,45
33416830,269,150,962,123,4,45
33416840,275,154,965,123,4,90
33416850,281,151,969,123,20,45
33416860,273,153,968,123,4,90
33416870,261,150,971,123,4,90
33416880,273,145,966,123,20,90
33416890,270,144,966,123,20,45
33416900,264,147,969,123,20,90
33416910,261,136,968,123,20,45
33416920,263,139,969,123,20,90
