@relation 1811dataset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-285,195,992,-8,-159,90,Down
-283,196,981,-8,-159,45,Down
-273,193,984,-8,-175,90,Down
-268,193,986,-8,-159,45,Down
-255,196,983,-25,-159,90,Down
-246,202,984,-8,-126,45,Down
-243,204,981,-25,-110,0,Down
-234,205,990,-8,-77,45,Down
-237,205,971,-8,-77,0,Down
-238,204,963,-8,-61,90,Down
-231,208,966,7,-61,0,Down
-226,216,966,-8,-77,45,Down
-219,228,965,-8,-61,45,Down
-222,229,968,-8,-61,0,Down
-214,228,971,-8,-44,-45,Down
-219,229,971,-25,-61,45,Down
-219,226,978,-25,-61,0,Down
-214,219,989,-41,-61,0,Down
-211,214,995,-41,-77,0,Down
-204,207,1017,-58,-77,90,Down
-210,202,1020,-25,-77,0,Down
-207,198,1026,-25,-61,0,Down
-208,204,1020,-25,-44,0,Down
-211,198,1031,-25,-44,0,Down
-216,195,1026,-8,-61,0,Down
-217,196,1032,-8,-61,0,Down
-210,193,1038,7,-61,0,Down
-220,199,1047,7,-61,45,Down
-211,202,1061,24,-61,45,Down
-219,195,1064,24,-61,45,Down
-208,187,1083,40,-77,45,Down
-210,189,1085,57,-61,90,Down
-213,195,1097,73,-77,90,Down
-211,207,1137,90,-93,90,Down
-198,198,1167,106,-93,90,Down
-201,192,1184,156,-77,90,Down
-220,190,1214,189,-77,135,Down
-228,186,1223,222,-77,135,Down
-220,193,1220,271,-77,181,Down
-219,193,1244,320,-77,181,Down
-222,186,1257,386,-77,181,Down
-232,160,1304,436,-61,271,Down
-249,132,1328,535,-44,271,Down
-252,133,1344,617,-28,271,Down
-255,138,1340,716,-12,271,Down
-271,129,1377,782,-28,362,Down
-289,109,1398,897,-12,316,Down
-306,97,1391,996,20,407,Down
-310,111,1355,1111,69,407,Down
-315,151,1296,1210,101,497,Down
-301,184,1272,1309,118,497,Down
-333,177,1259,1375,85,543,Down
-352,160,1248,1474,134,588,Down
-385,187,1223,1572,134,678,Down
-366,210,1145,1638,101,724,Down
-303,249,1076,1704,69,769,Down
-303,283,1017,1770,69,769,Down
-313,322,957,1820,69,859,Down
-316,328,933,1853,20,814,Down
-295,337,845,1886,-12,859,Down
-193,382,734,1902,-28,905,Down
-100,451,629,1902,-12,905,Down
-37,507,512,1853,20,905,Down
21,544,399,1820,69,859,Down
56,582,306,1737,118,859,Down
66,613,233,1638,150,905,Down
84,627,173,1556,183,859,Down
99,637,140,1408,167,814,Down
93,634,108,1292,150,769,Down
95,636,81,1144,118,724,Down
110,628,65,1012,69,678,Down
125,627,38,897,36,588,Down
138,624,8,732,-12,543,Down
165,643,-48,600,-12,543,Down
201,649,-111,419,-77,407,Down
237,654,-157,238,-77,316,Down
255,667,-195,40,-93,181,Down
266,664,-222,-140,-93,135,Down
285,667,-225,-354,-93,0,Down
335,634,-279,-519,-61,-90,Down
416,597,-328,-717,-28,-316,Down
467,568,-367,-898,20,-452,Down
461,544,-349,-1095,69,-588,Down
407,511,-285,-1326,69,-678,Down
344,468,-165,-1573,20,-814,Down
311,439,0,-1903,4,-905,Down
306,460,153,-2249,4,-995,Down
-301,226,1203,172,232,0,Down
-259,232,1173,156,150,90,Down
-196,262,1148,139,69,135,Down
-159,253,1125,123,20,90,Down
-145,228,1095,106,4,0,Down
-142,192,1071,73,-28,0,Down
-144,166,1061,73,-44,0,Down
-144,141,1046,57,-61,45,Down
-162,115,1037,40,-93,45,Down
-169,88,1034,57,-126,45,Down
-169,75,1020,57,-175,45,Down
-166,75,1004,73,-208,45,Down
-168,76,992,57,-224,135,Down
