#agb 130912000 10 1 0

$date 20070801
$interval 10
$var time msec
$var ax short
$var ay short
$var az short
$var gx short
$var gy short
$var gz short

$data
47352000,125,613,-25,2561,150,905
47352010,132,639,-40,2495,216,995
47352020,144,589,-57,2396,281,950
47352030,135,564,-82,2363,313,905
47352040,141,556,-132,2380,346,905
47352050,135,597,-163,2380,346,905
47352060,138,628,-202,2380,362,859
47352070,122,630,-210,2297,313,814
47352080,234,610,-319,2248,313,678
47352090,435,550,-463,2149,346,543
47352100,648,570,-658,1935,411,452
47352110,866,597,-922,1655,477,407
47352120,1191,534,-1165,1391,493,316
47352130,1530,475,-1309,979,525,135
47352140,1008,166,-1123,90,346,-316
47352150,1322,609,-1225,-1145,-289,-995
47352160,1562,652,-1240,-2661,-876,-1991
47352170,1734,522,-1107,-4077,-876,-2715
47352180,1631,330,-724,-5379,-566,-3303
47352190,1368,342,-186,-6532,-175,-3665
47352200,651,264,635,-7438,69,-3846
47352210,-510,96,1242,-7867,-159,-4072
47352220,-1842,136,668,-8213,-909,-3575
47352230,-474,-831,236,-7340,-468,-3258
47352240,-624,-1434,60,-6961,-1871,-3213
47352250,-1546,-2050,254,-5115,-2132,-1538
47352260,-576,-2050,1218,-2957,-1969,-588
47352270,-843,-2050,2014,-1656,-941,-135
47352280,-1107,-1872,2014,-700,428,0
47352290,-1155,-1290,2014,-25,998,226
47352300,-1030,-993,2014,370,998,452
47352310,-892,-569,2014,633,770,407
47352320,-765,-278,2013,765,558,316
47352330,-529,33,1664,864,362,90
47352340,-241,307,1413,864,297,-45
47352350,-91,346,1229,716,395,0
47352360,-106,280,1131,584,574,-45
47352370,-168,253,1065,485,640,0
47352380,-165,292,1041,419,591,90
47352390,-150,340,1023,337,509,45
47352400,-157,361,990,238,395,0
47352410,-172,367,981,156,346,-45
47352420,-208,343,1004,24,248,-181
47352430,-226,303,1028,-90,183,-226
47352440,-223,256,1046,-189,118,-271
47352450,-229,199,1049,-272,52,-271
47352460,-240,136,1049,-305,4,-181
47352470,-271,61,1053,-321,-77,-181
47352480,-298,-18,1067,-305,-142,-90
47352490,-321,-69,1092,-288,-224,-45
47352500,-316,-111,1115,-239,-256,-45
47352510,-300,-131,1113,-189,-273,-45
47352520,-276,-122,1113,-140,-256,-45
47352530,-267,-116,1100,-107,-208,-45
47352540,-265,-128,1079,-41,-142,-90
47352550,-271,-113,1055,-8,-77,-45
47352560,-289,-78,1037,24,-28,0
47352570,-295,-59,1034,73,52,0
47352580,-295,-41,1032,57,69,0
47352590,-300,-23,1026,73,101,45
47352600,-292,6,1026,73,118,45
47352610,-286,27,1022,57,118,90
47352620,-295,45,1023,40,101,90
47352630,-303,40,1028,24,85,45
47352640,-304,42,1028,7,52,45
47352650,-304,34,1028,-8,20,45
47352660,-315,24,1023,-41,-12,45
47352670,-307,6,1008,-41,-28,0
47352680,-304,-2,1005,-41,-28,45
47352690,-301,-18,1001,-41,-44,45
47352700,-303,-30,996,-41,-44,45
47352710,-306,-39,996,-25,-44,90
47352720,-315,-48,995,7,-44,45
47352730,-312,-48,999,-8,-61,90
47352740,-307,-35,1008,24,-61,90
47352750,-294,-29,1022,7,-77,90
47352760,-289,-26,1022,24,-61,90
47352770,-292,-27,1031,24,-44,90
47352780,-295,-26,1031,24,-44,135
