-112,-94,1031,Left
-116,-102,1027,Left
-112,-102,1008,Left
-96,-102,1043,Left
-104,-98,1039,Left
-96,-105,1023,Left
-112,-117,1047,Left
-104,-141,1020,Left
-77,-121,1023,Left
-50,-176,1059,Left
35,-137,1055,Left
-34,-109,1125,Left
43,-117,1098,Left
-69,-234,1113,Left
-57,-453,1113,Left
-116,-484,1137,Left
-81,-519,1109,Left
-18,-840,1180,Left
31,-887,1324,Left
-34,-855,1418,Left
-171,-859,1414,Left
-323,-832,1398,Left
-475,-754,1441,Left
-577,-723,1477,Left
-675,-789,1504,Left
-745,-863,1527,Left
-761,-844,1566,Left
-718,-816,1645,Left
-663,-766,1746,Left
-655,-703,1856,Left
-620,-562,1945,Left
-589,-418,2066,Left
-487,-289,2102,Left
-300,-187,2102,Left
-143,8,2102,Left
59,128,2102,Left
278,284,2102,Left
403,452,2102,Left
489,499,2102,Left
535,601,2102,Left
582,749,2090,Left
582,905,1887,Left
594,948,1695,Left
563,987,1523,Left
547,1007,1348,Left
520,1081,1172,Left
489,1167,1051,Left
449,1269,906,Left
438,1335,785,Left
438,1355,648,Left
442,1335,500,Left
414,1292,348,Left
406,1249,188,Left
410,1155,36,Left
391,1046,-108,Left
391,929,-237,Left
375,796,-354,Left
364,671,-456,Left
324,562,-530,Left
274,480,-573,Left
235,401,-593,Left
207,327,-616,Left
164,284,-624,Left
102,233,-620,Left
78,179,-601,Left
67,108,-573,Left
55,23,-550,Left
43,-19,-507,Left
47,-59,-452,Left
24,-121,-413,Left
8,-207,-374,Left
-22,-305,-339,Left
-81,-465,-272,Left
-124,-625,-210,Left
-147,-762,-116,Left
-155,-867,9,Left
-112,-918,137,Left
-30,-973,305,Left
24,-1039,512,Left
90,-1086,781,Left
153,-1039,1047,Left
176,-996,1305,Left
219,-937,1570,Left
266,-863,1820,Left
309,-711,2102,Left
328,-523,2102,Left
399,-410,2102,Left
442,-258,2102,Left
477,-62,2102,Left
469,187,2102,Left
453,358,2102,Left
395,523,2102,Left
297,632,2102,Left
196,773,2102,Left
94,933,2102,Left
16,1050,2102,Left
-53,1148,2102,Left
-108,1233,2070,Left
-159,1308,1848,Left
-202,1343,1637,Left
-237,1335,1410,Left
-245,1335,1184,Left
-261,1296,977,Left
-284,1241,738,Left
-315,1202,481,Left
-319,1112,254,Left
-323,1011,56,Left
-319,905,-128,Left
-307,808,-276,Left
-300,722,-362,Left
-272,640,-479,Left
-245,573,-550,Left
-214,468,-608,Left
-171,378,-636,Left
-128,312,-694,Left
-93,226,-686,Left
-46,151,-686,Left
-11,81,-679,Left
31,16,-675,Left
74,-59,-683,Left
94,-152,-675,Left
141,-234,-651,Left
215,-359,-651,Left
262,-480,-608,Left
360,-586,-565,Left
477,-711,-499,Left
543,-855,-433,Left
578,-1000,-351,Left
649,-1117,-229,Left
754,-1230,-81,Left
938,-1301,79,Left
1078,-1293,316,Left
1239,-1285,574,Left
1270,-1391,777,Left
1305,-1473,973,Left
1317,-1441,1121,Left
1176,-1332,1324,Left
1035,-1039,1547,Left
840,-769,1766,Left
762,-477,1992,Left
668,-312,2102,Left
461,-152,2102,Left
383,0,2102,Left
207,101,2102,Left
137,175,2102,Left
78,261,2102,Left
24,308,2102,Left
24,394,2102,Left
24,452,2102,Left
43,440,2102,Left
51,417,2102,Left
47,460,2066,Left
74,452,1961,Left
-14,378,1852,Left
-128,292,1715,Left
-182,276,1617,Left
-186,284,1531,Left
-139,339,1469,Left
-85,339,1457,Left
-81,292,1430,Left
-50,269,1426,Left
-34,261,1418,Left
-53,261,1422,Left
-30,230,1398,Left
-14,206,1367,Left
-18,148,1340,Left
0,81,1277,Left
43,46,1227,Left
74,62,1293,Left
110,81,1324,Left
129,-35,1313,Left
125,-113,1250,Left
168,-191,1258,Left
129,-172,1207,Left
164,-137,1168,Left
149,-141,1098,Left
149,-137,1086,Left
129,-156,1074,Left
117,-141,1039,Left
149,-137,1016,Left
156,-156,1008,Left
153,-176,1004,Left
153,-180,984,Left
149,-180,981,Left
149,-176,984,Left
160,-184,1000,Left
156,-191,988,Left
160,-180,981,Left
153,-156,992,Left
160,-160,981,Left
164,-160,977,Left
153,-148,984,Left
141,-148,996,Left
145,-156,973,Left
149,-141,988,Left
153,-160,1004,Left
164,-152,1016,Left
168,-148,1020,Left
180,-144,1027,Left
176,-152,1047,Left
176,-148,1035,Left
176,-156,1039,Left
176,-141,1027,Left
164,-144,1016,Left
176,-133,1008,Left
168,-133,1008,Left
176,-133,996,Left
168,-133,1008,Left
180,-137,1023,Left
184,-137,1023,Left
203,-148,1016,Left
188,-148,1008,Left
188,-148,1012,Left
176,-156,1000,Left
192,-156,1020,Left
192,-144,1000,Left
188,-144,1004,Left
192,-141,1004,Left
172,-133,1008,Left
184,-156,1004,Left
180,-148,1008,Left
184,-137,1020,Left
188,-144,1016,Left
176,-152,1031,Left
176,-144,1023,Left
153,-144,1023,Left
160,-144,1016,Left
164,-137,1004,Left
156,-141,1012,Left
160,-160,1004,Left
172,-156,1016,Left
180,-156,1023,Left
172,-156,1027,Left
168,-148,1023,Left
176,-129,1012,Left
184,-160,1020,Left
172,-164,1008,Left
180,-160,1000,Left
172,-152,977,Left
196,-176,996,Left
184,-172,992,Left
176,-168,988,Left
168,-156,996,Left
172,-160,992,Left
160,-160,1008,Left
176,-160,992,Left
168,-172,1012,Left
168,-168,1020,Left
172,-172,1016,Left
168,-156,1008,Left
160,-156,1000,Left
160,-141,1008,Left
160,-144,1016,Left
160,-137,1023,Left
160,-156,1004,Left
78,-109,1023,Left
82,-105,1008,Left
78,-102,1020,Left
82,-94,1035,Left
90,-82,1023,Left
94,-78,1004,Left
94,-70,1020,Left
98,-78,996,Left
98,-78,1004,Left
90,-70,1012,Left
102,-78,1020,Left
90,-55,1031,Left
94,-35,1020,Left
102,-43,1031,Left
90,-43,1008,Left
102,-39,1023,Left
86,-35,1027,Left
82,-31,1023,Left
94,-23,1031,Left
86,-16,1027,Left
82,-12,1023,Left
82,-16,1043,Left
86,-19,1020,Left
78,-12,1039,Left
82,-19,1023,Left
86,-31,1035,Left
94,-23,1031,Left
74,-35,1035,Left
71,-31,1023,Left
71,-35,1027,Left
71,-27,1012,Left
59,-27,1012,Left
63,-27,996,Left
51,-27,1008,Left
59,-47,1000,Left
67,-43,1008,Left
63,-51,1008,Left
59,-39,1023,Left
59,-39,1035,Left
63,-39,1023,Left
67,-39,1043,Left
63,-27,1043,Left
63,-31,1055,Left
55,-35,1035,Left
59,-23,1055,Left
78,-35,1047,Left
55,-31,1043,Left
71,-19,1039,Left
71,-16,1039,Left
74,-16,1039,Left
59,-8,1035,Left
47,4,1039,Left
55,-8,1023,Left
51,-16,1031,Left
47,-23,1008,Left
51,-4,1012,Left
59,-12,1008,Left
59,-4,1004,Left
55,-16,992,Left
43,-4,1008,Left
43,-23,1000,Left
35,-27,1004,Left
47,-8,996,Left
63,-19,996,Left
74,-8,1016,Left
78,-4,1020,Left
82,-4,1031,Left
94,-16,1027,Left
74,-12,1027,Left
74,0,1020,Left
86,-16,1020,Left
98,-4,1012,Left
90,-4,1016,Left
110,0,1027,Left
114,-16,1023,Left
117,-8,1031,Left
110,0,1039,Left
117,4,1039,Left
121,8,1027,Left
121,0,1023,Left
110,8,1039,Left
121,0,1039,Left
129,4,1051,Left
141,8,1066,Left
133,23,1051,Left
156,26,1059,Left
149,23,1039,Left
141,26,1047,Left
149,34,1039,Left
145,38,1039,Left
133,26,1027,Left
114,26,1035,Left
121,34,1027,Left
121,30,1008,Left
121,26,1012,Left
114,20,1023,Left
98,8,1020,Left
98,0,1031,Left
86,-16,1031,Left
98,-23,1031,Left
102,-16,1047,Left
106,-16,1063,Left
114,0,1066,Left
121,4,1078,Left
110,16,1094,Left
219,-457,1238,Left
235,-453,1281,Left
235,-465,1301,Left
227,-441,1332,Left
227,-441,1336,Left
223,-449,1363,Left
219,-426,1418,Left
227,-375,1473,Left
242,-328,1504,Left
254,-258,1566,Left
258,-227,1602,Left
250,-219,1594,Left
285,-223,1617,Left
309,-234,1652,Left
336,-219,1648,Left
364,-195,1660,Left
379,-152,1668,Left
403,-102,1668,Left
422,-59,1645,Left
422,-27,1633,Left
434,16,1602,Left
434,58,1578,Left
426,93,1543,Left
403,151,1535,Left
375,187,1512,Left
352,206,1473,Left
340,218,1438,Left
317,245,1434,Left
305,288,1418,Left
278,327,1379,Left
274,382,1371,Left
278,452,1359,Left
309,464,1348,Left
348,480,1324,Left
383,499,1305,Left
395,526,1277,Left
395,554,1223,Left
391,573,1184,Left
383,581,1129,Left
348,554,1086,Left
328,523,1039,Left
324,530,969,Left
281,569,918,Left
239,620,875,Left
196,675,824,Left
141,718,781,Left
125,730,762,Left
117,753,688,Left
98,745,633,Left
51,745,578,Left
20,706,527,Left
-11,710,449,Left
-14,671,375,Left
-73,655,316,Left
-77,581,231,Left
-112,546,164,Left
-155,480,75,Left
-186,405,-11,Left
-237,382,-65,Left
-280,343,-97,Left
-323,335,-140,Left
-354,304,-159,Left
-382,280,-159,Left
-386,226,-171,Left
-378,183,-167,Left
-374,163,-159,Left
-374,167,-147,Left
-358,151,-136,Left
-382,112,-140,Left
-401,65,-140,Left
-374,20,-124,Left
-374,-55,-108,Left
-335,-105,-85,Left
-327,-160,-54,Left
-339,-203,-26,Left
-307,-242,13,Left
-323,-305,60,Left
-303,-391,121,Left
-296,-457,168,Left
-276,-500,231,Left
-241,-527,320,Left
-257,-594,391,Left
-202,-676,469,Left
-175,-703,535,Left
-81,-742,586,Left
-61,-797,652,Left
-34,-930,715,Left
12,-1031,758,Left
-73,-1137,840,Left
-18,-1160,914,Left
20,-1098,1039,Left
16,-1086,1117,Left
-4,-1051,1231,Left
-18,-996,1379,Left
4,-969,1508,Left
0,-887,1695,Left
31,-793,1859,Left
71,-727,2023,Left
102,-660,2102,Left
156,-574,2102,Left
184,-547,2102,Left
184,-496,2102,Left
192,-430,2102,Left
184,-336,2102,Left
184,-254,2102,Left
160,-180,2102,Left
141,-105,2102,Left
90,-39,2102,Left
16,50,2055,Left
-30,155,1945,Left
-73,237,1848,Left
-104,300,1734,Left
-139,339,1633,Left
-178,374,1555,Left
-225,413,1457,Left
-245,437,1363,Left
-257,460,1258,Left
-280,487,1184,Left
-296,507,1094,Left
-288,507,1035,Left
-319,507,938,Left
-307,491,879,Left
-346,499,816,Left
-386,495,719,Left
-389,491,656,Left
-397,491,578,Left
-397,472,516,Left
-405,468,461,Left
-409,452,426,Left
-401,405,379,Left
-389,398,305,Left
-382,347,273,Left
-386,276,231,Left
-378,198,195,Left
-389,132,137,Left
-413,151,109,Left
-409,171,87,Left
-409,183,79,Left
-401,179,56,Left
-386,89,32,Left
-386,26,-19,Left
-386,-31,-42,Left
-389,-125,-54,Left
-421,-152,-89,Left
-405,-125,-104,Left
-370,-102,-112,Left
-335,-125,-93,Left
-311,-187,-81,Left
-268,-234,-85,Left
-257,-312,-97,Left
-245,-418,-116,Left
192,-187,1016,Left
196,-184,1004,Left
196,-184,992,Left
207,-172,977,Left
203,-156,973,Left
203,-160,981,Left
199,-160,981,Left
207,-156,969,Left
219,-168,969,Left
211,-184,969,Left
215,-180,961,Left
203,-180,965,Left
207,-191,965,Left
199,-191,973,Left
215,-184,973,Left
207,-180,973,Left
192,-180,988,Left
192,-164,981,Left
176,-148,977,Left
164,-144,1000,Left
156,-137,981,Left
141,-133,992,Left
149,-129,1004,Left
160,-137,1004,Left
141,-144,1000,Left
137,-144,1008,Left
141,-148,1023,Left
129,-148,1000,Left
133,-148,1004,Left
117,-129,1008,Left
106,-129,1000,Left
106,-125,1004,Left
94,-125,1012,Left
114,-141,1000,Left
121,-148,1012,Left
129,-160,1000,Left
117,-148,1012,Left
121,-137,1016,Left
121,-121,1008,Left
106,-129,1016,Left
106,-125,1020,Left
110,-129,1000,Left
114,-133,1012,Left
117,-144,1023,Left
106,-152,1023,Left
114,-144,1004,Left
106,-141,1027,Left
129,-148,1000,Left
133,-141,1031,Left
129,-125,1012,Left
121,-121,1027,Left
125,-137,1020,Left
133,-121,1016,Left
125,-133,1020,Left
133,-137,1020,Left
137,-129,1008,Left
145,-133,1020,Left
137,-133,1023,Left
153,-141,1027,Left
141,-141,1027,Left
125,-121,1023,Left
129,-125,1016,Left
129,-125,1020,Left
149,-133,996,Left
153,-117,1023,Left
156,-129,1023,Left
164,-113,1008,Left
164,-125,1039,Left
168,-121,1031,Left
153,-109,1020,Left
149,-113,1031,Left
149,-105,1016,Left
160,-105,1000,Left
149,-98,1012,Left
153,-94,1016,Left
160,-102,1027,Left
160,-102,1023,Left
156,-82,1023,Left
149,-94,1016,Left
141,-86,1008,Left
164,-86,1023,Left
168,-94,1027,Left
164,-113,1023,Left
164,-133,1023,Left
164,-141,1020,Left
160,-125,1027,Left
156,-125,1012,Left
145,-125,1016,Left
149,-105,1012,Left
156,-125,1008,Left
145,-133,1023,Left
153,-133,1035,Left
153,-121,1047,Left
156,-133,1039,Left
176,-137,1059,Left
172,-141,1047,Left
176,-129,1051,Left
172,-133,1055,Left
188,-141,1051,Left
