@relation 1811teachset2-weka.filters.unsupervised.attribute.Remove-R1

@attribute ' ax' numeric
@attribute ' ay' numeric
@attribute ' az' numeric
@attribute ' gx' numeric
@attribute ' gy' numeric
@attribute ' gz' numeric
@attribute ' gesture' {Down,Idle,Left,LRollL,LRollR,Right,RollL,RollR,Up}

@data
-180,162,1001,73,-44,90,Down
-189,156,1004,73,-44,90,Down
-193,150,1007,73,-61,90,Down
-187,151,1007,57,-77,135,Down
-183,150,1002,73,-61,90,Down
-189,154,996,73,-61,135,Down
-195,151,993,57,-61,90,Down
-193,150,999,40,-93,45,Down
-187,151,996,57,-61,226,Down
-187,151,995,57,-61,181,Down
-183,147,1001,73,-61,45,Down
-186,147,1001,73,-44,45,Down
-190,151,998,73,-44,45,Down
-198,156,995,90,-44,45,Down
-204,153,998,73,-44,90,Down
-190,153,1002,57,-93,0,Down
-193,151,1008,57,-77,0,Down
-183,154,1008,73,-77,90,Down
-172,151,1005,73,-77,45,Down
-163,156,1005,73,-44,90,Down
-166,156,1007,73,-28,90,Down
-177,153,1004,73,-28,90,Down
-183,156,1004,73,-28,90,Down
-181,153,1002,90,-44,90,Down
-181,148,1004,73,-44,90,Down
-177,156,1001,73,-44,90,Down
-168,153,1004,90,-44,90,Down
-168,159,1001,90,-44,90,Down
-169,159,1004,90,-28,90,Down
-172,151,1007,90,-28,90,Down
-175,156,1014,90,-28,90,Down
-181,150,1011,73,-28,90,Down
-178,150,1007,90,-44,90,Down
-178,153,1010,90,-44,90,Down
-178,156,1008,90,-61,90,Down
-175,153,1008,73,-44,90,Down
-180,151,1014,90,-44,90,Down
-177,150,1020,90,-44,90,Down
-184,145,1028,90,-28,90,Down
-192,147,1025,106,-44,90,Down
-186,142,1031,106,-44,90,Down
-180,151,1032,106,-44,90,Down
-180,148,1025,123,-44,90,Down
-192,153,1040,123,-44,90,Down
-196,148,1044,139,-44,135,Down
-192,147,1047,139,-61,135,Down
-193,154,1049,139,-61,135,Down
-189,160,1058,139,-77,90,Down
-181,159,1058,156,-77,135,Down
-177,154,1059,172,-61,135,Down
-180,156,1067,189,-61,135,Down
-186,154,1071,205,-61,135,Down
-184,159,1068,205,-61,135,Down
-183,165,1068,238,-61,135,Down
-183,169,1064,254,-77,181,Down
-177,175,1052,254,-77,181,Down
-174,180,1044,271,-61,181,Down
-175,181,1043,271,-77,181,Down
-181,180,1038,287,-44,181,Down
-169,189,1038,304,-44,226,Down
-183,178,1049,304,-44,271,Down
-183,174,1044,304,-44,181,Down
-181,180,1031,320,-28,271,Down
-172,195,1025,337,-28,181,Down
-174,205,1014,337,-28,181,Down
-171,216,999,337,-44,181,Down
-169,226,990,353,-28,181,Down
-175,232,995,353,-28,181,Down
-177,229,989,353,-28,181,Down
-183,232,977,353,-44,226,Down
-169,237,974,353,-61,181,Down
-165,240,987,353,-77,181,Down
-177,238,990,370,-61,226,Down
-169,243,987,353,-77,181,Down
-160,252,984,353,-77,135,Down
-163,264,972,337,-93,135,Down
-160,271,975,353,-77,226,Down
-157,271,969,353,-77,135,Down
-157,277,972,370,-77,181,Down
-154,274,984,353,-77,181,Down
-153,274,984,370,-77,181,Down
-150,280,969,353,-77,226,Down
-144,289,945,353,-61,226,Down
-145,307,927,370,-44,181,Down
