-100,-227,1035,Throw
-93,-223,1020,Throw
-93,-234,1016,Throw
-100,-219,1027,Throw
-96,-223,1008,Throw
-100,-223,1016,Throw
-100,-219,1016,Throw
-104,-215,1016,Throw
-104,-219,1020,Throw
-96,-227,1023,Throw
-100,-223,1031,Throw
-93,-215,1000,Throw
-93,-219,1016,Throw
-93,-223,1016,Throw
-108,-223,1031,Throw
-89,-230,1000,Throw
-85,-234,1035,Throw
-93,-227,1016,Throw
-96,-227,1012,Throw
-93,-234,1012,Throw
-93,-223,1004,Throw
-104,-227,1031,Throw
-93,-227,1008,Throw
-104,-227,1023,Throw
-93,-238,1016,Throw
-96,-227,1023,Throw
-104,-219,1023,Throw
-100,-219,1023,Throw
-100,-223,1020,Throw
-100,-219,1012,Throw
-89,-223,1027,Throw
-108,-207,1027,Throw
-93,-219,1027,Throw
-100,-223,1023,Throw
-93,-219,1027,Throw
-96,-215,1016,Throw
-96,-211,1027,Throw
-89,-207,1039,Throw
-96,-215,1016,Throw
-96,-215,1016,Throw
-96,-211,1012,Throw
-100,-223,1020,Throw
-89,-223,1031,Throw
-93,-219,1035,Throw
-96,-227,1008,Throw
-93,-230,1035,Throw
-89,-227,1023,Throw
-93,-223,1008,Throw
-93,-211,1027,Throw
-89,-227,1016,Throw
-93,-223,1020,Throw
-96,-219,1020,Throw
-89,-215,1016,Throw
-93,-223,1016,Throw
-93,-215,1027,Throw
-96,-219,1035,Throw
-96,-215,1023,Throw
-89,-219,1035,Throw
-96,-219,1016,Throw
-96,-219,1043,Throw
-89,-215,1031,Throw
-96,-211,1020,Throw
-93,-215,1027,Throw
-96,-223,1023,Throw
-89,-230,1012,Throw
-89,-215,1020,Throw
-96,-234,1031,Throw
-93,-223,1016,Throw
-89,-230,1035,Throw
-108,-223,1023,Throw
-93,-211,1035,Throw
-89,-215,1023,Throw
-96,-219,1031,Throw
-100,-219,1016,Throw
-93,-211,1031,Throw
-93,-215,1027,Throw
-85,-223,1023,Throw
-89,-215,1027,Throw
-104,-215,1031,Throw
-100,-207,1039,Throw
-100,-211,1043,Throw
-85,-223,1051,Throw
-96,-219,1031,Throw
-93,-219,1027,Throw
-93,-219,1027,Throw
-81,-223,1027,Throw
-81,-219,1023,Throw
-77,-230,1031,Throw
-81,-203,1012,Throw
-89,-223,1008,Throw
-73,-227,1020,Throw
-81,-223,1035,Throw
-81,-215,1031,Throw
-77,-234,1043,Throw
-77,-230,1027,Throw
-85,-227,1039,Throw
-89,-219,1020,Throw
-85,-227,1000,Throw
496,644,1484,Throw
504,655,1484,Throw
512,671,1496,Throw
508,710,1508,Throw
524,718,1496,Throw
578,632,1414,Throw
633,550,1391,Throw
664,468,1359,Throw
699,362,1313,Throw
711,273,1266,Throw
711,237,1250,Throw
739,233,1203,Throw
731,198,1199,Throw
727,155,1219,Throw
739,89,1191,Throw
754,42,1207,Throw
742,4,1184,Throw
785,-144,1152,Throw
844,-309,1109,Throw
910,-398,1086,Throw
953,-473,1063,Throw
981,-547,1008,Throw
985,-539,996,Throw
942,-586,926,Throw
891,-633,840,Throw
824,-707,828,Throw
801,-766,797,Throw
789,-777,766,Throw
770,-789,719,Throw
813,-859,660,Throw
824,-969,594,Throw
856,-988,473,Throw
844,-973,363,Throw
785,-992,328,Throw
778,-1066,262,Throw
801,-1168,211,Throw
809,-1266,137,Throw
801,-1305,79,Throw
844,-1414,-54,Throw
856,-1484,-147,Throw
836,-1535,-210,Throw
797,-1609,-237,Throw
766,-1703,-245,Throw
828,-1766,-241,Throw
867,-1816,-206,Throw
906,-1738,-214,Throw
910,-1644,-245,Throw
867,-1574,-253,Throw
832,-1508,-269,Throw
824,-1480,-253,Throw
832,-1508,-249,Throw
887,-1508,-284,Throw
961,-1535,-343,Throw
1008,-1562,-413,Throw
1055,-1594,-397,Throw
1125,-1641,-390,Throw
1176,-1687,-397,Throw
1317,-1711,-394,Throw
1492,-1664,-425,Throw
1621,-1648,-409,Throw
1656,-1633,-386,Throw
1735,-1652,-378,Throw
1867,-1641,-374,Throw
1965,-1613,-308,Throw
1981,-1656,-194,Throw
1985,-1777,-116,Throw
1985,-1836,-15,Throw
1985,-1852,40,Throw
1985,-1914,121,Throw
1985,-1977,246,Throw
1985,-1977,309,Throw
1985,-1977,691,Throw
1985,-1977,895,Throw
1985,-1977,1113,Throw
1985,-1977,1441,Throw
1985,-1934,1570,Throw
1985,-1812,1887,Throw
1985,-1742,1961,Throw
1985,-1488,1973,Throw
1985,-1148,2082,Throw
1985,-840,2023,Throw
1985,-531,2094,Throw
1946,-332,1949,Throw
1891,-242,1859,Throw
1692,-184,1984,Throw
1727,-203,1961,Throw
1797,-141,1723,Throw
1735,69,1633,Throw
1844,81,1488,Throw
1985,108,1535,Throw
1942,128,1699,Throw
1770,69,1719,Throw
1625,69,1723,Throw
1418,112,1754,Throw
1254,190,1629,Throw
1074,241,1547,Throw
946,261,1473,Throw
871,288,1453,Throw
821,327,1449,Throw
774,339,1422,Throw
750,370,1410,Throw
680,370,1387,Throw
614,378,1348,Throw
531,390,1305,Throw
453,378,1254,Throw
367,331,1219,Throw
301,288,1199,Throw
231,245,1180,Throw
203,194,1156,Throw
149,190,1102,Throw
71,151,1074,Throw
-11,85,1047,Throw
-77,30,1012,Throw
-136,-4,1004,Throw
-171,-55,957,Throw
-206,-98,914,Throw
-233,-156,898,Throw
-284,-207,875,Throw
-292,-266,863,Throw
-307,-301,844,Throw
-335,-344,863,Throw
-374,-410,852,Throw
-401,-445,859,Throw
-358,-492,852,Throw
-307,-527,852,Throw
-280,-562,840,Throw
-288,-613,859,Throw
-272,-672,859,Throw
-245,-695,867,Throw
-241,-707,879,Throw
