@relation readyfile-weka.filters.unsupervised.attribute.Remove-R1

@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute Idle {Down,Idle,Up,Right,Left}

@data
575,-312,1115,-1441,-44,1221,Down
563,-338,1070,-1491,-28,1267,Down
639,-278,1157,-1310,-93,1040,Down
605,-294,1142,-1359,-93,1040,Down
521,-356,975,-1606,36,1357,Down
459,-372,908,-1656,36,1312,Down
554,-342,1034,-1557,4,1267,Down
-151,-525,-45,-1046,118,1086,Down
-166,-527,-51,-964,134,1040,Down
-156,-528,-12,-1244,52,1131,Down
-159,-525,-34,-1161,85,1131,Down
-177,-522,-87,-782,167,905,Down
-217,-527,-105,-684,199,814,Down
-166,-521,-73,-865,150,950,Down
-48,-513,221,-1639,69,1402,Down
-112,-522,155,-1573,52,1357,Down
14,-495,296,-1689,69,1448,Down
-159,-536,53,-1425,20,1267,Down
-159,-534,12,-1326,36,1176,Down
-147,-534,95,-1491,52,1312,Down
429,-99,1100,-140,134,90,Down
470,-93,1107,-173,134,135,Down
396,-125,1070,-58,183,90,Down
398,-111,1091,-74,167,90,Down
447,-98,1185,-239,101,181,Down
437,-108,1214,-288,69,271,Down
453,-86,1140,-189,150,181,Down
314,-131,1053,73,150,0,Down
344,-137,1064,40,134,0,Down
315,-111,1058,90,167,0,Down
419,-129,1065,-8,150,45,Down
411,-131,1068,-41,167,45,Down
399,-132,1059,7,150,45,Down
561,-239,1256,-964,-273,633,Down
629,-219,1235,-1046,-256,769,Down
552,-206,1293,-848,-289,588,Down
536,-236,1262,-898,-289,633,Down
680,-254,1182,-1178,-175,905,Down
668,-263,1167,-1260,-126,1040,Down
680,-222,1197,-1128,-208,859,Down
456,-104,1293,-420,-44,316,Down
482,-107,1334,-502,-93,362,Down
422,-114,1245,-338,20,316,Down
557,-143,1349,-684,-224,497,Down
546,-176,1337,-766,-273,497,Down
525,-119,1353,-585,-159,407,Down
276,-98,954,90,264,135,Down
275,-92,945,106,248,135,Down
285,-104,966,90,232,135,Down
264,-102,959,90,264,135,Down
261,-87,926,90,232,135,Down
261,-90,908,73,199,45,Down
270,-92,944,73,232,90,Down
390,-237,1041,-58,-61,90,Down
366,-198,1011,-25,4,90,Down
-939,-629,-742,930,-599,-724,Down
420,-269,1073,-74,-93,90,Down
323,-134,983,40,134,90,Down
302,-110,968,73,199,90,Down
348,-159,986,7,69,45,Down
347,-81,867,123,101,45,Down
329,-95,881,139,101,90,Down
341,-56,861,90,69,45,Down
354,-72,866,106,85,90,Down
305,-107,921,172,101,45,Down
303,-116,933,189,85,45,Down
315,-101,900,172,118,45,Down
299,-59,882,73,118,45,Down
326,-59,864,73,101,45,Down
269,-78,894,73,167,45,Down
332,-41,864,90,101,45,Down
332,-50,867,57,52,45,Down
333,-47,860,73,85,0,Down
-52,-276,129,-1903,-175,1267,Down
-79,-291,87,-1820,-126,1312,Down
27,-234,281,-2035,-142,1357,Down
-15,-260,194,-1969,-142,1402,Down
-118,-299,42,-1656,-77,1221,Down
-127,-302,12,-1573,-12,1176,Down
-106,-299,63,-1738,-126,1312,Down
366,-59,837,-2035,-61,1221,Down
335,-65,741,-2084,-61,1312,Down
428,3,1020,-1903,-61,1131,Down
404,-33,909,-1969,-61,1176,Down
147,-155,501,-2100,-77,1357,Down
77,-198,380,-2067,-110,1357,Down
242,-105,629,-2084,-61,1357,Down
-637,-531,-486,-305,-256,316,Down
-702,-590,-561,-74,-403,135,Down
-459,-420,-319,-700,52,633,Down
-535,-474,-393,-502,-77,407,Down
-798,-653,-678,419,-583,-135,Down
-865,-638,-721,683,-599,-407,Down
-747,-632,-610,156,-534,0,Down
-181,-311,-61,-1376,85,1040,Down
-220,-327,-114,-1260,101,995,Down
-160,-312,-24,-1474,36,1086,Down
-306,-359,-169,-997,150,859,Down
-375,-386,-231,-865,134,678,Down
-259,-339,-145,-1128,150,905,Down
180,40,842,-2035,232,1267,Down
174,21,801,-2100,199,1312,Down
288,55,983,-1919,281,1176,Down
240,54,899,-1969,264,1267,Down
123,-63,704,-2216,150,1312,Down
66,-125,638,-2249,101,1312,Down
174,-5,747,-2166,167,1267,Down
455,-56,1341,-1474,493,950,Down
414,-18,1302,-1557,477,995,Down
522,-110,1403,-1277,444,859,Down
483,-86,1349,-1376,477,950,Down
357,45,1133,-1754,379,1086,Down
314,52,1052,-1837,330,1131,Down
408,18,1238,-1656,444,995,Down
-177,-350,-70,-1804,-240,995,Down
-165,-359,-79,-1738,-191,1040,Down
-190,-336,-13,-2018,-322,1176,Down
-178,-347,-49,-1919,-289,1086,Down
-162,-332,-60,-1557,-93,995,Down
-159,-333,-67,-1474,-110,905,Down
-168,-347,-67,-1656,-142,1040,Down
-45,-225,446,-2282,-61,1267,Down
-118,-260,348,-2265,-142,1267,Down
14,-176,546,-2265,36,1312,Down
