@relation teachset-weka.filters.unsupervised.attribute.Remove-R1

@attribute ax numeric
@attribute ay numeric
@attribute az numeric
@attribute gx numeric
@attribute gy numeric
@attribute gz numeric
@attribute Idle {Down,Idle,Up,Right,Left}

@data
201,-69,1299,24,69,135,Down
204,-56,1112,123,52,45,Down
197,-59,1091,139,52,45,Down
221,-80,1167,90,36,45,Down
221,-65,1139,106,36,45,Down
222,-39,990,156,4,0,Down
227,-54,981,156,-12,45,Down
207,-36,996,139,-12,0,Down
222,-36,996,156,-12,-90,Down
179,-72,960,156,4,0,Down
183,-72,954,139,4,45,Down
218,-65,966,156,-28,-90,Down
192,-71,965,139,-12,-90,Down
194,-71,998,139,-12,0,Down
195,-65,1001,139,-44,-45,Down
195,-71,1005,156,4,0,Down
194,-72,1004,139,-12,0,Down
189,-50,1010,123,-44,0,Down
192,-41,1005,123,-28,0,Down
192,-56,1002,139,-28,0,Down
206,-116,1080,73,52,135,Down
210,-116,1103,73,4,45,Down
176,-126,1044,73,150,181,Down
186,-122,1068,90,118,135,Down
201,-210,1142,-8,-93,0,Down
228,-239,1169,-41,-142,90,Down
194,-138,1125,40,-44,45,Down
188,-183,1125,24,-61,45,Down
171,-90,972,40,134,45,Down
146,-107,987,40,167,90,Down
194,-56,936,7,85,90,Down
195,-68,959,40,118,45,Down
132,-150,1023,57,216,181,Down
150,-138,1023,73,199,135,Down
138,-128,996,57,199,135,Down
132,-147,1014,57,216,135,Down
519,988,2014,666,-680,-452,Down
422,1252,2014,1358,-224,-678,Down
875,39,2014,-206,-697,-226,Down
782,511,2014,106,-795,-362,Down
1169,1980,2014,3665,982,-1086,Down
1098,2045,2014,4505,1064,-1267,Down
542,1410,2014,2001,281,-814,Down
921,1714,2014,2792,705,-950,Down
311,-228,1383,-25,-289,0,Down
324,-302,1485,-8,-256,-45,Down
263,-231,1212,-41,-191,90,Down
302,-212,1286,-41,-256,45,Down
542,-480,1703,-140,-322,-181,Down
738,-329,1835,-255,-517,-181,Down
398,-422,1581,-41,-256,-90,Down
194,-114,1026,172,85,45,Down
200,-113,1022,172,85,90,Down
170,-122,1047,156,69,0,Down
171,-122,1038,189,101,45,Down
212,-117,986,156,20,45,Down
206,-122,962,189,36,0,Down
212,-114,1007,189,85,45,Down
218,-117,996,189,69,45,Down
174,-104,1128,73,20,0,Down
159,-116,1103,90,36,0,Down
182,-89,1164,24,4,0,Down
174,-92,1149,57,4,0,Down
171,-126,1062,139,85,45,Down
168,-129,1059,172,85,45,Down
153,-125,1085,123,69,45,Down
165,-126,1073,139,85,45,Down
197,-132,884,24,20,45,Down
191,-126,884,24,20,45,Down
192,-158,884,57,36,45,Down
197,-150,887,57,36,45,Down
189,-72,899,-8,52,45,Down
194,-56,918,7,85,0,Down
183,-113,884,-8,20,90,Down
191,-84,885,7,52,0,Down
228,-140,924,172,36,0,Down
213,-138,921,123,4,0,Down
204,-131,947,172,20,0,Down
224,-135,932,172,20,0,Down
186,-167,911,106,20,0,Down
186,-168,890,106,52,-45,Down
204,-159,915,139,36,-45,Down
282,103,984,57,-12,-135,Down
291,103,990,90,20,-45,Down
296,106,980,73,-12,-135,Down
290,100,989,106,20,0,Down
263,103,992,106,36,0,Down
293,99,989,90,20,-45,Down
266,154,990,73,-93,-226,Down
297,133,977,57,-93,-271,Down
306,126,975,73,-126,-362,Down
296,115,969,73,-44,-181,Down
309,106,971,57,-44,-181,Down
320,112,968,57,-77,-181,Down
281,51,1016,156,118,135,Down
189,91,1038,172,167,135,Down
266,76,1019,123,36,45,Down
126,124,1056,123,150,135,Down
150,105,1035,106,134,135,Down
120,121,1055,156,167,135,Down
258,100,996,106,52,45,Down
234,111,1002,139,52,0,Down
260,102,996,106,36,45,Down
230,114,1023,139,52,90,Down
230,114,1010,106,36,45,Down
206,220,981,73,-256,-588,Down
209,226,975,73,-256,-543,Down
177,223,980,40,-289,-678,Down
209,205,972,57,-256,-543,Down
224,184,965,57,-256,-497,Down
213,222,980,57,-256,-543,Down
126,219,966,73,-191,-588,Down
134,229,971,90,-208,-588,Down
110,213,962,73,-175,-543,Down
159,223,981,73,-240,-588,Down
147,234,984,90,-224,-588,Down
245,151,971,57,-191,-407,Down
252,150,972,57,-191,-362,Down
233,150,966,57,-208,-407,Down
263,144,968,57,-191,-362,Down
293,132,969,57,-159,-362,Down
254,145,972,73,-175,-362,Down
234,178,963,40,-240,-452,Down
227,174,962,40,-208,-452,Down
224,180,966,57,-256,-497,Down
221,156,960,40,-208,-407,Down
219,162,962,40,-208,-452,Down
89,147,947,73,69,90,Down
83,148,953,73,69,135,Down
98,159,951,73,52,90,Down
80,166,959,90,69,90,Down
78,160,960,90,69,90,Down
87,151,954,90,69,90,Down
86,154,963,57,69,135,Down
84,166,951,57,69,90,Down
84,154,969,57,85,90,Down
93,160,950,57,52,135,Down
104,157,951,57,52,135,Down
84,169,947,57,69,135,Down
78,156,962,73,52,135,Down
74,154,962,73,36,135,Down
84,159,963,90,52,181,Down
68,157,965,73,20,135,Down
68,151,968,73,4,135,Down
74,150,963,73,36,135,Down
66,153,962,73,36,135,Down
69,159,965,90,52,181,Down
69,153,959,90,69,135,Down
78,160,965,90,52,181,Down
74,162,966,73,36,135,Down
84,81,1047,40,134,135,Down
81,84,1052,40,134,135,Down
74,81,1044,57,118,135,Down
72,96,1041,40,134,135,Down
63,106,1032,24,134,135,Down
74,90,1046,40,150,135,Down
114,85,1041,73,134,135,Down
108,91,1044,73,118,135,Down
137,79,1031,90,134,135,Down
74,96,1049,57,118,181,Down
95,100,1047,73,118,135,Down
71,153,1002,40,118,90,Down
72,156,996,40,118,90,Down
75,150,1008,24,118,90,Down
75,163,984,57,85,90,Down
83,156,981,57,85,90,Down
74,156,990,57,101,90,Down
63,121,1014,24,134,90,Down
57,130,1017,24,134,90,Down
53,111,1022,24,134,135,Down
72,147,1016,24,118,90,Down
62,139,1020,24,118,90,Down
197,42,959,156,118,-588,Down
201,42,960,156,118,-543,Down
186,25,947,156,150,-543,Down
206,24,962,156,101,-543,Down
