-19,-104,1028,Gesture
-19,-90,1043,Gesture
-22,-69,1038,Gesture
-24,-59,1041,Gesture
-16,-57,1037,Gesture
-4,-89,1026,Gesture
-18,-110,1032,Gesture
-10,-113,1020,Gesture
-1,-114,1020,Gesture
-10,-125,1025,Gesture
-10,-126,1016,Gesture
-39,-188,930,Gesture
-12,352,1104,Gesture
63,-159,1014,Gesture
-31,-162,1032,Gesture
6,-27,1049,Gesture
-18,-117,1031,Gesture
-7,-84,1043,Gesture
3,-92,1023,Gesture
-13,-105,1028,Gesture
-4,-98,1034,Gesture
-10,-84,1037,Gesture
-13,-72,1041,Gesture
-6,-51,1032,Gesture
-12,-51,1041,Gesture
-16,-60,1032,Gesture
-10,-3,1022,Gesture
12,-90,1040,Gesture
9,-113,1005,Gesture
3,-71,1040,Gesture
2,-39,1028,Gesture
6,-84,1037,Gesture
44,-96,1022,Gesture
24,34,1020,Gesture
65,30,989,Gesture
-42,54,1037,Gesture
-16,33,1076,Gesture
36,-65,1019,Gesture
17,-21,1017,Gesture
11,-42,1016,Gesture
5,-50,1037,Gesture
3,-27,1037,Gesture
-9,1,1053,Gesture
0,-54,1022,Gesture
3,-68,1022,Gesture
17,-59,1026,Gesture
0,-56,1023,Gesture
-10,-66,1040,Gesture
-7,-72,1043,Gesture
-12,-77,1035,Gesture
-7,-78,1035,Gesture
0,-60,1008,Gesture
-7,-68,1025,Gesture
-18,-48,1046,Gesture
-10,-72,1032,Gesture
-15,-107,1022,Gesture
-28,-105,1034,Gesture
-9,-102,1038,Gesture
-12,-101,1022,Gesture
-7,-72,1025,Gesture
-6,-84,1023,Gesture
-16,-101,1023,Gesture
-28,-90,1040,Gesture
-30,-108,1041,Gesture
-19,-108,1028,Gesture
-24,-95,1023,Gesture
-19,-84,1026,Gesture
-19,-81,1026,Gesture
-28,-87,1032,Gesture
-25,-87,1031,Gesture
-22,-92,1016,Gesture
-22,-90,1028,Gesture
-15,-71,1023,Gesture
-21,-78,1034,Gesture
-27,-54,1034,Gesture
-22,-63,1031,Gesture
-27,-81,1023,Gesture
-21,-93,1043,Gesture
-25,-104,1025,Gesture
-27,-89,1032,Gesture
-7,-62,1034,Gesture
9,-86,1014,Gesture
-15,-35,1025,Gesture
-24,-56,1038,Gesture
-27,-62,1046,Gesture
-30,-92,1031,Gesture
-13,-93,1035,Gesture
-22,-80,1044,Gesture
-19,-74,1032,Gesture
-27,-68,1031,Gesture
-21,-57,1028,Gesture
-3,-83,1028,Gesture
0,-56,1028,Gesture
-9,-80,1026,Gesture
-15,-92,1025,Gesture
-27,-80,1041,Gesture
-13,-84,1016,Gesture
-39,-89,1037,Gesture
-28,-113,1044,Gesture
-15,-128,1025,Gesture
-30,-120,1040,Gesture
-9,-128,1020,Gesture
0,-96,1022,Gesture
6,-120,1004,Gesture
2,-102,1004,Gesture
-28,-128,1028,Gesture
-22,-144,1043,Gesture
-24,-132,1025,Gesture
-30,-134,1046,Gesture
